Nom du magasin,Enseigne,Région,Adresse,Latitude,Longitude
Alain Afflelou LA CHÂTRE,Afflelou,Centre-Val de Loire,"12 Place du Marché, 36400 La Châtre",46.58691,1.98715
Alain Afflelou La Fouillouse CELF,Afflelou,Auvergne-Rhône-Alpes,"CC L'Arche - 372 RD 1082, 42480 La Fouillouse",45.48875,4.30577
Alain Afflelou LAVAUR,Afflelou,Occitanie,"ZA le Rouch – 75 avenue de Cocagne, 81500 Lavaur",43.70049,1.81789
Alain Afflelou LAXOU,Afflelou,Grand Est,"20 rue de la Sapinière, 54520 Laxou",48.69211,6.13244
Alain Afflelou LILLE,Afflelou,Hauts-de-France,"332 rue Léon Gambetta, 59000 Lille",50.63105,3.06529
Alain Afflelou LIMOUX,Afflelou,Occitanie,"C.C. Leclerc - Z.I., 11300 Limoux",43.05990,2.22163
Alain Afflelou LUNEL,Afflelou,Occitanie,"121 BOULEVARD DE LA RÉPUBLIQUE, 34400 Lunel",43.67734,4.13125
Alain Afflelou MARMANDE,Afflelou,Nouvelle-Aquitaine,"73 avenue Jean Jaurès, 47200 Marmande",44.50080,0.16261
Alain Afflelou MAUREPAS,Afflelou,Île-de-France,"Rond-point Laurent Schwartz, 78310 Maurepas",48.75710,1.92070
Alain Afflelou MERS LES BAINS,Afflelou,Hauts-de-France,"CC Les 3 Villes Sœurs, 80350 Mers-les-Bains",50.06800,1.38953
Alain Afflelou METZ PEBO,Afflelou,Grand Est,"Centre commercial CORA, 10 boulevard Solidarité, 57070 Metz",49.12191,6.18619
Alain Afflelou MONDELANGE,Afflelou,Grand Est,"C.C. Cora, 57300 MONDELANGE",49.27188,6.16920
Alain Afflelou Monistrol sur Loire RLMO,Afflelou,Auvergne-Rhône-Alpes,"9 rue du Pêcher, 43120 MONISTROL-SUR-LOIRE",45.28781,4.17393
Alain Afflelou MONTLUÇON,Afflelou,Auvergne-Rhône-Alpes,"C.C. Carrefour Saint Jacques, 3100 Montluçon",46.34394,2.59356
Alain Afflelou Montmorillon,Afflelou,Nouvelle-Aquitaine,"116 Av. Victor Hugo, 86500 Montmorillon",46.42421,0.86836
Alain Afflelou MOULINS,Afflelou,Auvergne-Rhône-Alpes,"43 rue d'Allier, 3000 MOULINS",46.568,3.335
Alain Afflelou Mulhouse,Afflelou,Grand Est,"16 rue Mercière, 68100 Mulhouse",47.746,7.339
Alain Afflelou NEMOURS,Afflelou,Île-de-France,"30 RUE DE PARIS, 77140 Nemours",48.268,2.694
Alain Afflelou Neufchâteau CLNE,Afflelou,Grand Est,"35 rue de France, 88300 Neufchâteau",48.349,5.692
Alain Afflelou NEUVILLE SUR SAÔNE,Afflelou,Auvergne-Rhône-Alpes,"43 rue Victor Hugo, 69250 Neuville-sur-Saône",45.876,4.839
Alain Afflelou NEVERS,Afflelou,Bourgogne-Franche-Comté,"C.C. Intermarché, 58000 Nevers",46.995,3.162
Alain Afflelou ORLÉANS,Afflelou,Centre-Val de Loire,"ZAC Expo Sud - lieu-dit Les Chèvres Noires, 45100 Orléans",47.863,1.918
Alain Afflelou Ouistreham,Afflelou,Normandie,"20 Rue de la Pelleterie, 14700 Falaise",48.899,-0.196
Alain Afflelou Ouistreham,Afflelou,Normandie,"Centre Commercial Carrefour Market, 14150 Ouistreham",49.276,-0.259
Alain Afflelou Peronne,Afflelou,Hauts-de-France,"Av. de l'Europe C.C. Intermarché, 80200 Péronne",49.932,2.932
Alain Afflelou PEZENAS,Afflelou,Occitanie,"ZAC Les Rodettes, 34120 Pézenas",43.459,3.423
Alain Afflelou Pithiviers MAPI,Afflelou,Centre-Val de Loire,"1 rue René Cassin - Zone Industrielle, 45300 Pithiviers",48.171,2.252
Alain Afflelou PLAISANCE DU TOUCH,Afflelou,Occitanie,"97 Route de Lombez, 31830 Plaisance-du-Touch",43.570,1.300
Alain Afflelou Quimperlé DHQU,Afflelou,Bretagne,"Croix de Kervail, 29300 Quimperlé",47.874,-3.546
Alain Afflelou REDON,Afflelou,Bretagne,"5 Place Saint-Sauveur, 35600 Redon",47.653,-2.085
Alain Afflelou Remiremont,Afflelou,Grand Est,"4 Rue Charles de Gaulle, 88200 Remiremont",48.016,6.596
Alain Afflelou Romorantin-Lanthenay,Afflelou,Centre-Val de Loire,"10 Rue Saint-Martin, 41200 Romorantin-Lanthenay",47.365,1.747
Alain Afflelou RONCQ (RONVUE),Afflelou,Hauts-de-France,"Centre Commercial Auchan, 59800 Roncq",50.737,3.124
Alain Afflelou SAINT PARRES-AUX-TERTRES,Afflelou,Grand Est,"23b rue des Magnolias, 10410 Saint-Parres-aux-Tertres",48.309,4.117
Alain Afflelou Saint-Amand-Montrond,Afflelou,Centre-Val de Loire,"9 Route de Bourges, 18200 Saint-Amand-Montrond",46.729,2.505
Alain Afflelou SAINT-AVOLD,Afflelou,Grand Est,"40 RUE DU GENERAL HIRSCHAUER, 57500 SAINT-AVOLD",49.105,6.705
Alain Afflelou SAINT-FLOUR,Afflelou,Auvergne-Rhône-Alpes,"ZI de Montplain, 15100 Saint-Flour",45.036,3.092
Alain Afflelou SAINT-LÔ,Afflelou,Normandie,"2 rue du Maréchal Leclerc, 50000 Saint-Lô",49.115,-1.085
Alain Afflelou Saint-Louis MYSL,Afflelou,Grand Est,"77 rue de Mulhouse, 68300 SAINT-LOUIS",47.585,7.558
Alain Afflelou SAINT-LYS,Afflelou,Occitanie,"6 avenue des Pyrénées, 31470 Saint-Lys",43.516,1.178
Alain Afflelou SAINT-PERAY,Afflelou,Auvergne-Rhône-Alpes,"767 avenue Gross Umstadt, 7130 SAINT-PERAY",44.946,4.844
Alain Afflelou Sainte-Marie-des-Champs DESM,Afflelou,Normandie,"ZAC La porte des champs, 76190 Sainte-Marie-des-Champs",49.578,0.763
Alain Afflelou SARREBOURG,Afflelou,Grand Est,"3 rue Napoléon, 57400 Sarrebourg",48.731,7.052
Alain Afflelou SARREGUEMINES,Afflelou,Grand Est,"1 rue Sainte Croix, 57200 Sarreguemines",49.108,7.068
Alain Afflelou SÉBAZAC-CONCOURÈS,Afflelou,Occitanie,"863 avenue Joël Pilon, 12740 SÉBAZAC-CONCOURÈS",44.376,2.580
Alain Afflelou SEDAN,Afflelou,Grand Est,"22 avenue du Maréchal-Leclerc, 8200 Sedan",49.701,4.938
Alain Afflelou SÉGNY,Afflelou,Auvergne-Rhône-Alpes,"C.C. Carrefour, 1170 SÉGNY",46.316,6.116
Alain Afflelou Sète,Afflelou,Occitanie,"22 Rue Gambetta, 34200 Sète",43.402,3.693
Alain Afflelou Sin-Le-Noble,Afflelou,Hauts-de-France,"C.C, Av. des Poètes, 59450 Sin-le-Noble",50.347,3.129
Alain Afflelou SOUPPES-SUR-LOING,Afflelou,Île-de-France,"C.C. Auchan Val De Loing, 77460 Souppes-sur-Loing",48.189,2.748
Alain Afflelou THIONVILLE,Afflelou,Grand Est,"17 Rue Général Stuhl, 57100 Bitche",49.053,7.426
Alain Afflelou TINQUEUX (ex VAUXBUIN),Afflelou,Grand Est,"C.C. Carrefour - route de Soissons, 2200 TINQUEUX",49.258,3.980
Alain Afflelou Toulouse,Afflelou,Occitanie,"65 rue Alsace Lorraine, 31000 Toulouse",43.604,1.443
Alain Afflelou Tourville-la-rivière ROTO,Afflelou,Normandie,"C.C. Carrefour ZAC Clos des antes, 76410 TOURVILLE-LA-RIVIERE",49.358,1.039
Alain Afflelou TROYES,Afflelou,Grand Est,"115 rue Emile Zola, 10000 Troyes",48.297,4.074
Alain Afflelou Venette,Afflelou,Hauts-de-France,"ZAC de Venette 60200 Venette, 60200 Venette",49.411,2.795
Alain Afflelou VÉNISSIEUX,Afflelou,Auvergne-Rhône-Alpes,"C.C. Carrefour, 69200 Vénissieux",45.7000,4.8851
Alain Afflelou VERDUN,Afflelou,Grand Est,"2 Rue Mazel, 55100 Verdun",49.1599,5.3844
Alain Afflelou Villemur-sur-Tarn,Afflelou,Occitanie,"31 Rue Pierre Marchet C.C. Leclerc, 31340 Villemur-sur-Tarn",43.8592,1.5171
Alain Afflelou VINEUIL,Afflelou,Centre-Val de Loire,"ZAC les Perrières - rue Palissy, 41350 Vineuil",47.5920,1.3832
Alain Afflelou Vittel,Afflelou,Grand Est,"46 Place Général De Gaulle, 88800 Vittel",48.1983,5.9476
Alain Afflelou WATTRELOS,Afflelou,Hauts-de-France,"7 place Jean Delvainquière, 59150 Wattrelos",50.7003,3.2091
Alain Afflelou Wissembourg CUWI,Afflelou,Grand Est,"5 Rue de la Paix, 67160 Wissembourg",49.0382,7.9464
AMBIANCE OPTIQUE BONNETABLE,Autre,Pays de la Loire,"8 Rue du Maréchal Joffre, 72110 Bonnétable",48.2701,0.4214
AMBIANCE OPTIQUE MAMERS,Autre,Pays de la Loire,"1 Pl. Carnot, 72600 Mamers",48.3461,0.3674
ATOL LE MANS / SARL GBOS,Autre,Pays de la Loire,16 Avenue Georges Durand. 72100 LE MANS,48.0041,0.1927
AU COIN D'MA VUE (ACDMV) - RACHES,Autre,Hauts-de-France,442 route nationale – 59194 Râches,50.4307,3.1434
Blue Vision - Collectif des Lunetiers Saone,Autre,Bourgogne-Franche-Comté,Ccial Super U – ZAC des Ecots – 25660 Saône,47.2274,6.1079
BO OPTIC FAREBERSVILLER,Autre,Grand Est,"CENTRE COMMERCIAL B'EST, 57450 FAREBERSVILLER",49.0861,6.7969
Bo Optic Geispolsheim,Autre,Grand Est,"6 rue du Fort, 67500 Geispolsheim",48.5205,7.6662
